Year,Company Name,Country,Mission name
2010,NASA,USA,ARTEMIS-P1
2010,NASA,USA,ARTEMIS-P2
2011,NASA,USA,MESSENGER
2011,NASA,USA,Dawn
2012,NASA,USA,Mars Science Laboratory
2012,NASA,USA,Voyager 1
2013,NASA,USA,Lunar Reconnaissance Orbiter
2015,NASA,USA,Dawn
2015,NASA,USA,New Horizons
2015,NASA,USA,International Space Station
2017,NASA,USA,Cassiniâ€“Huygens
2018,NASA,USA,InSight
2019,NASA,USA,New Horizons
2019,NASA,USA,Event Horizon Telescope
2021,NASA,USA,InSight
2021,NASA,USA,Ingenuity
2021,NASA,USA,MOXIE
2021,NASA,USA,Parker Solar Probe
2021,NASA,USA,James Webb Space Telescope
2022,NASA,USA,DART
2024,NASA,USA,IM-1
